X,Y,name,longitude,latitude,WKT,icon_url
35.54329,-5.47807,Bugenika,"35.5433","-5.47807",POINT Z (35.54329000000001 -5.478069999999993 0),
36.64271,-6.24945,Chang'ombe,"36.6427","-6.24945",POINT Z (36.64270999999999 -6.249449999999994 0),
35.44949,-6.37191,Chidilo,"35.4495","-6.37191",POINT Z (35.44949 -6.371910000000005 0),
31.78971,-3.00238,Kakora,"31.7897","-3.00238",POINT Z (31.78971000000001 -3.002379999999989 0),
35.35196,-8.09797,Limuli Hill,"35.352","-8.09797",POINT Z (35.35195999999999 -8.09797000000001 0),
31.81254,-1.21588,Bushagara,"31.8125","-1.21588",POINT Z (31.81254000000001 -1.215879999999996 0),
31.81046,-1.25232,Igombe,"31.8105","-1.25232",POINT Z (31.81046000000001 -1.252320000000007 0),
31.14543,-1.72917,Ihembe I,"31.1454","-1.72917",POINT Z (31.14543000000001 -1.729170000000013 0),
31.30261,-2.549353,Kitwechembigo,"31.3026","-2.54935",POINT Z (31.30261000000002 -2.549353000000003 0),
37.13303,-3.18894,Manio-Suumu Pr Sc,"37.133","-3.18894",POINT Z (37.13302999999998 -3.18894 0),
37.11076,-3.18853,Mae_Kibong'oto pr,"37.1108","-3.18853",POINT Z (37.11076 -3.188530000000009 0),
38.97689,-9.86203,Namkonjela,"38.9769","-9.86203",POINT Z (38.97689 -9.862030000000004 0),
33.53732,-2.1372,Haruzele,"33.5373","-2.1372",POINT Z (33.53731999999998 -2.137200000000012 0),
34.37796,-1.96238,Kitembere,"34.378","-1.96238",POINT Z (34.37796 -1.96237999999999 0),
32.69531,-8.51363,Isanzu,"32.6953","-8.51363",POINT Z (32.69530999999999 -8.513630000000003 0),
32.16463,-9.0575,Kapele Sec,"32.1646","-9.0575",POINT Z (32.16462999999997 -9.057500000000005 0),
33.94274,-9.59834,Kilwa,"33.9427","-9.59834",POINT Z (33.94274000000001 -9.598340000000004 0),
33.5444,-7.93356,Luwalaje,"33.5444","-7.93356",POINT Z (33.54440000000001 -7.933560000000003 0),
32.91563,-8.3852,Maleza,"32.9156","-8.3852",POINT Z (32.91562999999997 -8.385199999999998 0),
32.99968,-8.66679,Itindi,"32.9997","-8.66679",POINT Z (32.99968000000003 -8.666789999999995 0),
37.433781,-6.1263,Kinda,"37.4338","-6.1263",POINT Z (37.43378100000002 -6.126299999999986 0),
33.47175,-2.85453,Mwandu,"33.4718","-2.85453",POINT Z (33.47174999999999 -2.85453000000002 0),
33.35125,-8.93497,Kihesa,"33.3513","-8.93497",POINT Z (33.35125000000001 -8.934969999999998 0),
35.26355,-3.99693,Dirim,"35.2636","-3.99693",POINT Z (35.26355000000002 -3.99692999999999 0),
35.69299,-4.34519,Endanachan,"35.693","-4.34519",POINT Z (35.69298999999999 -4.345190000000001 0),
37.10995,-5.53981,Olkitikiti,"37.1099","-5.53981",POINT Z (37.10995000000001 -5.539809999999989 0),
35.63673,-4.20499,Singu,"35.6367","-4.20499",POINT Z (35.63673000000001 -4.204990000000002 0),
35.60551,-4.22518,Arri Pr Sch,"35.6055","-4.22518",POINT Z (35.60551 -4.225179999999986 0),
34.66382,-9.09786,Ihanja PS,"34.6638","-9.09786",POINT Z (34.66381999999997 -9.097859999999997 0),
33.47424,-2.45443,Ihale Pr School,"33.4742","-2.45443",POINT Z (33.47424000000002 -2.454429999999996 0),
33.11632,-3.41959,Itinje,"33.1163","-3.41959",POINT Z (33.11632000000002 -3.419589999999992 0),
33.10196,-4.24758,Shilla,"33.102","-4.24758",POINT Z (33.10196 -4.247579999999993 0),
